Country (en),Pays (fr),ISO2 country code,ISO3 country code,Region name,Region p-code,WHO region code,Prefecture name,Prefecture p-code,WHO prefecture code,Centre longitude,Centre latitude
#country/en,#country/fr,#country_id,#country_id,#adm1,#adm1_id,#x_whoadm1_id,#adm2,#adm2_id,#x_whoadm2_id,#lon_deg,#lat_deg
Guinea,Guinée,GN,GIN,Nzerekore,GN08,GIN008,Yomou,GN0806,GIN008006,-9.104326903,7.5367567782
Guinea,Guinée,GN,GIN,Nzerekore,GN08,GIN008,Nzerekore,GN0805,GIN008005,-8.7967554244,7.9546695681
Guinea,Guinée,GN,GIN,Nzerekore,GN08,GIN008,Lola,GN0803,GIN008003,-8.3266369134,7.9910230296
Guinea,Guinée,GN,GIN,Nzerekore,GN08,GIN008,Gueckedou,GN0802,GIN008002,-10.3048348255,8.6949397214
Guinea,Guinée,GN,GIN,Nzerekore,GN08,GIN008,Macenta,GN0804,GIN008004,-9.3393237524,8.4505352738
Guinea,Guinée,GN,GIN,Nzerekore,GN08,GIN008,Beyla,GN0801,GIN008001,-8.3350989459,8.8949965831
Guinea,Guinée,GN,GIN,Faranah,GN03,GIN003,Kissidougou,GN0304,GIN003004,-10.0272901436,9.24280287
Guinea,Guinée,GN,GIN,Kindia,GN05,GIN005,Forecariah,GN0503,GIN005003,-13.0627260644,9.416301271
Guinea,Guinée,GN,GIN,Conakry,GN02,GIN002,Conakry,GN0201,GIN002001,-13.62573045,9.6182433424
Guinea,Guinée,GN,GIN,Kankan,GN04,GIN004,Kerouane,GN0402,GIN004002,-9.1049901674,9.2636662733
Guinea,Guinée,GN,GIN,Kindia,GN05,GIN005,Dubreka,GN0502,GIN005002,-13.4939931579,10.1206853671
Guinea,Guinée,GN,GIN,Faranah,GN03,GIN003,Faranah,GN0303,GIN003003,-10.7387055936,9.9944816605
Guinea,Guinée,GN,GIN,Kindia,GN05,GIN005,Coyah,GN0501,GIN005001,-13.3159837156,9.7353646535
Guinea,Guinée,GN,GIN,Boke,GN01,GIN001,Boffa,GN0101,GIN001001,-14.0545378494,10.3704523359
Guinea,Guinée,GN,GIN,Mamou,GN07,GIN007,Mamou,GN0702,GIN007002,-11.8048918743,10.4930688004
Guinea,Guinée,GN,GIN,Kindia,GN05,GIN005,Kindia,GN0505,GIN005005,-12.7488142039,10.0983904021
Guinea,Guinée,GN,GIN,Kindia,GN05,GIN005,Fria,GN0504,GIN005004,-13.5872216531,10.5070045368
Guinea,Guinée,GN,GIN,Boke,GN01,GIN001,Boke,GN0102,GIN001002,-14.3617687695,11.0893838793
Guinea,Guinée,GN,GIN,Kankan,GN04,GIN004,Kankan,GN0401,GIN004001,-9.1087124306,10.060385139
Guinea,Guinée,GN,GIN,Faranah,GN03,GIN003,Dabola,GN0301,GIN003001,-11.0627538709,10.7299012426
Guinea,Guinée,GN,GIN,Mamou,GN07,GIN007,Dalaba,GN0701,GIN007001,-12.1402794081,10.9131793497
Guinea,Guinée,GN,GIN,Mamou,GN07,GIN007,Pita,GN0703,GIN007003,-12.6356583491,10.8964798332
Guinea,Guinée,GN,GIN,Kindia,GN05,GIN005,Telimele,GN0506,GIN005006,-13.3591246619,10.9192552488
Guinea,Guinée,GN,GIN,Kankan,GN04,GIN004,Kouroussa,GN0403,GIN004003,-10.1012791495,10.5819899535
Guinea,Guinée,GN,GIN,Kankan,GN04,GIN004,Mandiana,GN0404,GIN004004,-8.6176220518,10.7621354196
Guinea,Guinée,GN,GIN,Labe,GN06,GIN006,Labe,GN0602,GIN006002,-12.3076111882,11.381890406
Guinea,Guinée,GN,GIN,Labe,GN06,GIN006,Lelouma,GN0603,GIN006003,-12.6875030382,11.5067360916
Guinea,Guinée,GN,GIN,Labe,GN06,GIN006,Tougue,GN0605,GIN006005,-11.5172064318,11.5000764822
Guinea,Guinée,GN,GIN,Labe,GN06,GIN006,Koubia,GN0601,GIN006001,-11.7917246416,11.776099632
Guinea,Guinée,GN,GIN,Faranah,GN03,GIN003,Dinguiraye,GN0302,GIN003002,-10.7262027524,11.6069674927
Guinea,Guinée,GN,GIN,Boke,GN01,GIN001,Gaoual,GN0103,GIN001003,-13.3497420676,11.7235275873
Guinea,Guinée,GN,GIN,Labe,GN06,GIN006,Mali,GN0604,GIN006004,-12.1734452134,12.0955914803
Guinea,Guinée,GN,GIN,Kankan,GN04,GIN004,Siguiri,GN0405,GIN004005,-9.4666501767,11.6823785627
Guinea,Guinée,GN,GIN,Boke,GN01,GIN001,Koundara,GN0104,GIN001004,-13.1980812912,12.3757325348
